"","CpG","avg_meth_rate","min_pval","pvals_cloneass","Type"
"AMPL388681","AMPL388681",0.46762693554195,0.000406899190194543,0,"Static"
"AMPL371217","AMPL371217",0.815916456607849,0.000504589138320966,1.83774448600501e-238,"Static"
"AMPL371186","AMPL371186",0.153330932661145,1.11022302462516e-16,0.061862360417951,"Dynamic"
"AMPL378478","AMPL378478",0.699171768095071,0.050291756143587,3.67445804523085e-93,"Static"
"AMPL390117","AMPL390117",0.87050774216781,0,1.96547188184447e-07,"Dynamic"
"AMPL390585","AMPL390585",0.604537270435718,0.00161526572814163,1,"Static"
"AMPL390129","AMPL390129",0.710262873604606,0.00340307670106954,0,"Static"
"AMPL371237","AMPL371237",0.66964350018005,0,3.52552411800725e-24,"Dynamic"
"AMPL355844","AMPL355844",0.979978393950307,0.0293645245476304,1,"Dynamic"
"AMPL376597","AMPL376597",0.77032769175369,0,1.32287288384831e-07,"Dynamic"
"AMPL365812","AMPL365812",0.418509182571117,0.0515424273520999,9.73122882261158e-304,"Static"
"AMPL390097","AMPL390097",0.88527187612532,0.00168906575817707,6.52639295548111e-120,"Static"
"AMPL355829","AMPL355829",0.832553114872166,0.0322826205777781,7.07106706407586e-133,"Static"
"AMPL355873","AMPL355873",0.792221822110193,0.0106544463594382,1.61369218154212e-73,"Static"
"AMPL355742","AMPL355742",0.0432841195534749,2.28650275513331e-06,1,"Dynamic"
"AMPL355889","AMPL355889",0.196615052214621,8.69347704934853e-10,2.80834488411421e-11,"Dynamic"
"AMPL365997","AMPL365997",0.588260712999652,3.01636492339163e-07,0.000150098161183474,"Dynamic"
"AMPL376733","AMPL376733",0.469283399351825,8.86424267321217e-12,0,"Dynamic"
"AMPL390626","AMPL390626",0.290025207057982,0.000149777033004339,0,"Static"
"AMPL365730","AMPL365730",0.608786460208857,0.000244251837643872,2.43234085567739e-211,"Static"
"AMPL390006","AMPL390006",0.989629096146921,1.42257147173197e-08,1,"Dynamic"
"AMPL371756","AMPL371756",0.797047173208487,0,2.70480866357296e-135,"Dynamic"
"AMPL355580","AMPL355580",0.850270075621176,0.00603104217982853,0,"Static"
"AMPL365940","AMPL365940",0.877709758732445,5.4270701932424e-08,2.80900333736827e-220,"Dynamic"
"AMPL366193","AMPL366193",0.485992077781778,0,0.000916558348748757,"Dynamic"
"AMPL377424","AMPL377424",0.906157724162766,0.00791317959435967,1.85480223660064e-66,"Dynamic"
"AMPL377537","AMPL377537",0.0610731004681305,8.87253275317912e-05,1,"Dynamic"
"AMPL378928","AMPL378928",0.82254231184732,0.000282169396323084,9.43340905181759e-72,"Static"
"AMPL378501","AMPL378501",0.607922218221102,0.030972980304124,0,"Static"
"AMPL388692","AMPL388692",0.844148361541231,6.7635513967268e-08,7.97871228534948e-112,"Dynamic"
"AMPL355676","AMPL355676",0.73971912135398,0.00200177124087819,7.82676082458032e-135,"Static"
"AMPL355831","AMPL355831",0.494130356499819,0.00184051169309818,0,"Static"
"AMPL376547","AMPL376547",0.976449405833633,0.00343770251932618,0.00499575876607603,"Dynamic"
"AMPL371772","AMPL371772",0.746921137918623,0.000125617615990281,0,"Static"
"AMPL371261","AMPL371261",0.998703637018365,0.115038995829949,1,"Dynamic"
"AMPL371729","AMPL371729",0.529276197335254,0,2.36949247600308e-07,"Dynamic"
"AMPL371483","AMPL371483",0.862153402952826,0.0133959932390204,6.95569703974224e-199,"Static"
"AMPL371172","AMPL371172",0.90126035289881,0.00216353758103804,8.65362711911607e-151,"Dynamic"
"AMPL371792","AMPL371792",0.483831472812384,5.91748872125208e-14,1.5138205237633e-26,"Dynamic"
"AMPL371355","AMPL371355",0.707886208138274,7.72979573105959e-05,0,"Dynamic"
"AMPL355534","AMPL355534",0.805113431760891,4.26746501469566e-08,6.46461388917755e-48,"Dynamic"
"AMPL377174","AMPL377174",0.863017644940583,0,2.38341023989777e-15,"Dynamic"
"AMPL366007","AMPL366007",0.878285920057615,1.13025497849861e-07,1.16195738134842e-09,"Dynamic"
"AMPL366182","AMPL366182",0.860785019805544,0.0108691384980164,0,"Static"
"AMPL371512","AMPL371512",0.424342815988475,0.0528183051971305,0,"Static"
"AMPL390462","AMPL390462",0.985956067698954,0.0582951232918937,0.000121876199850335,"Dynamic"
"AMPL378486","AMPL378486",0.877781778898095,4.45600543164115e-06,0,"Dynamic"
"AMPL371404","AMPL371404",0.306661865322289,0,2.26109484719873e-10,"Dynamic"
"AMPL376643","AMPL376643",0.969535469931582,0.0278632160936956,1.94747190959783e-127,"Dynamic"
"AMPL390336","AMPL390336",0.529276197335261,1.17302260719265e-05,0,"Dynamic"
"AMPL390512","AMPL390512",0.92653943104069,0.0416785376257524,0,"Dynamic"
"AMPL371317","AMPL371317",0.427079582283034,9.4730933182241e-06,0,"Dynamic"
"AMPL371811","AMPL371811",0.800720201656466,6.50202114371723e-12,0,"Dynamic"
"AMPL376577","AMPL376577",0.846669067338857,0.0398874922222474,1.54788263720043e-14,"Static"
"AMPL376593","AMPL376593",0.437522506301765,0.00855708070270345,0,"Static"
"AMPL371251","AMPL371251",0.749513863881896,0.0063041905000244,0,"Static"
"AMPL371471","AMPL371471",0.948505581562837,2.01259840560963e-05,2.10856903781082e-08,"Dynamic"
"AMPL371303","AMPL371303",0.255167446885123,0.0266696107662699,0,"Static"
"AMPL377510","AMPL377510",0.925891249549873,0.00611927755534736,5.09239555993794e-226,"Dynamic"
"AMPL365861","AMPL365861",0.334605689593084,0,2.5100469901141e-10,"Dynamic"
"AMPL371644","AMPL371644",0.589485055815628,3.07947278044285e-06,2.42262154130258e-276,"Dynamic"
"AMPL365729","AMPL365729",0.923010442924023,0.00641009515447233,8.84653486644835e-31,"Dynamic"
"AMPL388345","AMPL388345",0.351170327691755,0.00187431116097503,0,"Static"
"AMPL371773","AMPL371773",0.641699675909231,1.16330470787407e-05,0,"Dynamic"
"AMPL371292","AMPL371292",0.526179330212452,0.00570490862383788,0,"Static"
"AMPL371810","AMPL371810",0.543896290961468,0.0101249929364853,0,"Static"
"AMPL376843","AMPL376843",0.900396110911051,4.00766465569191e-08,3.45407947527625e-83,"Dynamic"
"AMPL390223","AMPL390223",0.347857400072022,0.0244207090523307,0,"Static"
"AMPL371812","AMPL371812",0.797551314368023,0.00185080036972285,0,"Static"
"AMPL390215","AMPL390215",0.999711919337414,1,1,"Dynamic"
"AMPL371589","AMPL371589",0.616420597767375,0,6.22056924549812e-18,"Dynamic"
"AMPL371389","AMPL371389",0.859848757652141,0,1,"Dynamic"
"AMPL371271","AMPL371271",0.887144400432121,0,1.44807133573054e-06,"Dynamic"
"AMPL371265","AMPL371265",0.67778177889809,0,1.96159201731535e-17,"Dynamic"
"AMPL366159","AMPL366159",0.731076701476415,0,8.8170418174979e-10,"Dynamic"
"AMPL371654","AMPL371654",0.767014764133956,9.59596069272095e-10,3.76438811780746e-212,"Dynamic"
"AMPL371420","AMPL371420",0.527979834353613,0,1.34552615897501e-19,"Dynamic"
"AMPL355947","AMPL355947",0.677781778898101,0,9.20048917461441e-244,"Dynamic"
"AMPL390594","AMPL390594",0.996975153042852,0.159069314911215,0.985710229949574,"Dynamic"
"AMPL355546","AMPL355546",0.668347137198415,0,7.36978861238338e-14,"Dynamic"
"AMPL355932","AMPL355932",0.837882607129996,5.66258339299575e-05,0,"Dynamic"
"AMPL365895","AMPL365895",0.692401872524307,0,3.24656593040357e-06,"Dynamic"
"AMPL365894","AMPL365894",0.66380986676269,0,9.43905662173967e-14,"Dynamic"
"AMPL371600","AMPL371600",0.669931580842642,0,4.57039956480131e-20,"Dynamic"
"AMPL355545","AMPL355545",0.974432841195534,0.150699669954693,1,"Dynamic"
"AMPL365945","AMPL365945",0.570615772416278,1.91505689861593e-05,6.34771006191138e-14,"Dynamic"
"AMPL365823","AMPL365823",0.489305005401508,5.7643090300985e-09,2.87387601517128e-24,"Dynamic"
"AMPL365750","AMPL365750",0.749729924378833,0,9.36814713394187e-23,"Dynamic"
"AMPL371732","AMPL371732",0.519697515304286,0.000593364380878536,5.00713368427269e-286,"Static"
"AMPL371479","AMPL371479",0.741951746489021,2.65343302885412e-13,2.00290904667124e-68,"Dynamic"
"AMPL371488","AMPL371488",0.471876125315086,6.99440505513849e-15,5.52288606909853e-191,"Dynamic"
"AMPL365844","AMPL365844",0.373856679870365,0.106935073145066,1.2009696444977e-116,"Static"
"AMPL365790","AMPL365790",0.965214259992798,0.0501952341036097,8.72219839726801e-05,"Dynamic"
"AMPL371358","AMPL371358",0.397695354699312,0,0.00247145198153565,"Dynamic"
"AMPL371262","AMPL371262",0.724882967230823,8.88178419700125e-16,8.08271879319963e-25,"Dynamic"
"AMPL366082","AMPL366082",0.692545912855604,0,3.14654053294181e-18,"Dynamic"
"AMPL365923","AMPL365923",0.417428880086427,2.89068037284679e-08,6.64408450761335e-248,"Dynamic"
"AMPL390593","AMPL390593",0.772848397551315,6.30872987184006e-09,2.89474673939868e-46,"Dynamic"
"AMPL366042","AMPL366042",0.552250630176452,1.81776815821877e-12,6.74740978056424e-20,"Dynamic"
"AMPL371491","AMPL371491",0.778682030968673,9.46072262801856e-05,2.63067479632399e-113,"Dynamic"
"AMPL371429","AMPL371429",0.834137558516391,4.76742536670294e-07,9.25797894405793e-229,"Dynamic"
"AMPL376551","AMPL376551",0.776665466330574,0,1.64903408620069e-07,"Dynamic"
"AMPL376320","AMPL376320",0.724162765574359,0.19968028581065,2.31456406550354e-59,"Static"
"AMPL389990","AMPL389990",0.624126755491534,7.58145057844217e-09,1.53699675610816e-07,"Dynamic"
"AMPL366090","AMPL366090",0.352466690673385,0,9.36681424092709e-40,"Dynamic"
"AMPL376917","AMPL376917",0.449693914296,0,1.29578271422728e-25,"Dynamic"
"AMPL376929","AMPL376929",0.683975513143687,0.000146498926796745,6.10740838284796e-99,"Static"
"AMPL388261","AMPL388261",0.799063737846597,4.41632801558844e-05,9.65307280953151e-116,"Dynamic"
"AMPL366052","AMPL366052",0.714368023046456,0,1.09021934533113e-45,"Dynamic"
"AMPL366022","AMPL366022",0.762549513863878,0,4.36585784452805e-18,"Dynamic"
"AMPL388732","AMPL388732",0.630104429240188,0,7.89143840400612e-17,"Dynamic"
"AMPL390447","AMPL390447",0.72193014043932,0.00538010721796989,2.36482300421729e-259,"Static"
"AMPL390601","AMPL390601",0.805689593086059,0.00133742206351828,0,"Static"
"AMPL366088","AMPL366088",0.474684911775296,0,2.30960983869279e-24,"Dynamic"
"AMPL365853","AMPL365853",0.437018365142233,7.99504906723314e-12,3.86424534472007e-05,"Dynamic"
"AMPL390570","AMPL390570",0.664314007922224,0.00197135766541034,0,"Static"
"AMPL366029","AMPL366029",0.261937342455882,0.00155686941197741,0,"Static"
"AMPL388788","AMPL388788",0.527691753691031,0,4.77860319668423e-33,"Dynamic"
"AMPL365896","AMPL365896",0.882247029168166,0,0.000782087749723683,"Dynamic"
"AMPL388408","AMPL388408",0.617788980914649,0.000119616552897828,0,"Static"
"AMPL388483","AMPL388483",0.603312927619734,0,3.21330719459475e-11,"Dynamic"
"AMPL389956","AMPL389956",0.318905293482165,0.00993902221856557,0,"Static"
"AMPL389970","AMPL389970",0.757580122434261,7.7715611723761e-16,0,"Dynamic"
"AMPL388223","AMPL388223",0.967662945624775,0.055529650715443,1,"Dynamic"
"AMPL365981","AMPL365981",0.25603168887288,1.08387576691626e-09,1.55550043149688e-60,"Dynamic"
"AMPL390597","AMPL390597",0.489016924738922,3.33066907387547e-16,3.31160246804355e-22,"Dynamic"
"AMPL366053","AMPL366053",0.264314007922219,0,6.6591293068317e-19,"Dynamic"
"AMPL390487","AMPL390487",0.667770975873244,4.44089209850063e-16,3.66211273141273e-12,"Dynamic"
"AMPL376483","AMPL376483",0.74677709758733,1.09622097976825e-06,1,"Dynamic"
"AMPL388272","AMPL388272",0.867482895210661,0.000322766178956546,8.33769445759442e-282,"Static"
"AMPL388372","AMPL388372",0.807634137558511,0.000989044633479041,0,"Static"
"AMPL388655","AMPL388655",0.420453727043574,3.21964677141295e-15,1.03931096017698e-06,"Dynamic"
"AMPL390581","AMPL390581",0.947641339575079,0.0068926291315573,5.23275305929443e-06,"Dynamic"
"AMPL388628","AMPL388628",0.831760893050058,0.00131184595993528,6.2817254931074e-70,"Static"
"AMPL388687","AMPL388687",0.238170687792582,4.25692836536484e-09,1.92026168612343e-133,"Dynamic"
"AMPL376587","AMPL376587",0.602160604969397,0,7.59782251454588e-167,"Dynamic"
"AMPL388762","AMPL388762",0.626863521786099,5.16522102866901e-09,6.3956907640296e-302,"Dynamic"
"AMPL388291","AMPL388291",0.553186892329855,0,1.57259877683443e-12,"Dynamic"
"AMPL376465","AMPL376465",0.806193734245589,0.00045093790693751,0,"Static"
"AMPL388609","AMPL388609",0.986676269355419,0.0415782251266913,1,"Dynamic"
"AMPL389976","AMPL389976",0.998343536190133,0.0690705987524322,1,"Dynamic"
"AMPL388660","AMPL388660",0.86489016924739,4.10752294510708e-07,3.44460153035293e-91,"Dynamic"
"AMPL388494","AMPL388494",0.847749369823555,0.000236984651578287,3.21488662592293e-72,"Static"
"AMPL388807","AMPL388807",0.0977313647821427,1.95234396316302e-07,1.28532828098095e-114,"Dynamic"
"AMPL388710","AMPL388710",0.388980914656107,1.86531456947137e-10,5.39629160308142e-16,"Dynamic"
"AMPL388618","AMPL388618",0.9731364782139,1.58900259443762e-05,0.232296756544317,"Dynamic"
"AMPL365753","AMPL365753",0.662009362621531,2.08296920489737e-06,7.36395775823772e-123,"Dynamic"
"AMPL376897","AMPL376897",0.891321570039613,0.00181492322937171,0,"Static"
"AMPL388620","AMPL388620",0.656679870363701,0.00346050664926256,0,"Static"
"AMPL376501","AMPL376501",0.990133237306447,0.000598171839174322,1,"Dynamic"
"AMPL390524","AMPL390524",0.825423118473176,0.11572931595304,3.94333640721245e-58,"Static"
"AMPL376938","AMPL376938",0.88001440403313,1.41735401193444e-10,3.59324772616839e-65,"Dynamic"
"AMPL376318","AMPL376318",0.391573640619367,2.72030509229637e-10,2.06644225578804e-63,"Dynamic"
"AMPL376298","AMPL376298",0.801008282319049,0.00152692936986032,6.19214708573668e-278,"Static"
"AMPL376389","AMPL376389",0.851062297443287,3.58602036953926e-13,2.48445747857949e-06,"Dynamic"
"AMPL388818","AMPL388818",0.289953186892328,0,1.66604195034363e-14,"Dynamic"
"AMPL371802","AMPL371802",0.717464890169243,4.30810942475546e-11,3.8495637566542e-137,"Dynamic"
"AMPL388428","AMPL388428",0.0474612891609658,6.38909030947765e-06,1.13808442952143e-100,"Dynamic"
"AMPL390606","AMPL390606",0.948073460568959,7.72517192215716e-07,3.88415614044913e-13,"Dynamic"
"AMPL388351","AMPL388351",0.640331292761975,5.86905298805007e-08,0.0100719525804976,"Dynamic"
"AMPL371757","AMPL371757",0.794670507742162,2.01127304088056e-05,2.34183585356797e-184,"Dynamic"
"AMPL388260","AMPL388260",0.767879006121711,0.0451239609599282,2.60811626084077e-103,"Static"
"AMPL388402","AMPL388402",0.908822470291682,0.000121308905431494,1,"Dynamic"
"AMPL388730","AMPL388730",0.935109830752612,0.151152760418123,3.35675953018991e-14,"Dynamic"
"AMPL388354","AMPL388354",0.804249189773134,0,8.84405082960928e-09,"Dynamic"
"AMPL388447","AMPL388447",0.969895570759811,1.34584177359232e-05,0.118081823403741,"Dynamic"
"AMPL390547","AMPL390547",0.43730644580482,7.4993432142012e-07,6.72296097065646e-45,"Dynamic"
"AMPL388634","AMPL388634",0.515808426359372,0.0106584289097627,0,"Static"
"AMPL390256","AMPL390256",0.477493698235505,2.62935540007447e-08,2.88495792831746e-161,"Dynamic"
"AMPL388671","AMPL388671",0.119841555635577,0,1,"Dynamic"
"AMPL390079","AMPL390079",0.681166726683471,0.00130384929459348,0,"Static"
"AMPL376650","AMPL376650",0.0679150162045371,0,2.61251602573953e-08,"Dynamic"
"AMPL388631","AMPL388631",0.866546633057257,0.0171179683315618,6.90412191645597e-153,"Static"
"AMPL388478","AMPL388478",0.772488296723092,0.0208266488353726,3.77290824975143e-133,"Static"
"AMPL388530","AMPL388530",0.689593086064101,0.0503114228119113,5.0354909436981e-39,"Static"
"AMPL388514","AMPL388514",0.888080662585519,1.07717286423892e-07,0,"Dynamic"
"AMPL376689","AMPL376689",0.176089305005401,0,5.98918836011758e-13,"Dynamic"
"AMPL371322","AMPL371322",0.506085703997122,2.22044604925031e-16,0,"Dynamic"
"AMPL366150","AMPL366150",0.955995678790062,0.0481712889661294,0.158525461505061,"Dynamic"
"AMPL390130","AMPL390130",0.8566798703637,0.000172496350873685,0,"Static"
"AMPL376310","AMPL376310",0.760965070219667,0.0400490355463199,0,"Static"
"AMPL388450","AMPL388450",0.811667266834711,0.0029133808065398,0,"Static"
"AMPL388761","AMPL388761",0.767590925459128,0.000394638877082021,1.20179332665596e-32,"Static"
"AMPL388758","AMPL388758",0.783291321570044,9.65926984608512e-06,9.47642408991698e-20,"Dynamic"
"AMPL388232","AMPL388232",0.659704717320845,0,5.25718192958081e-16,"Dynamic"
